"anonym_id","gender","title","discipline","last_published","academia_length","phd_dissertation"
1,"Non-binary / third gender","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
2,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA
3,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
4,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never",NA,NA
5,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","3-4 articles"
6,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
7,"Man","Assistant Professor","Non-STEM","This year","More than 10 years",NA
8,"Man","Full Professor","Non-STEM","In the last year","More than 10 years",NA
9,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
10,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
11,"Woman","Assistant Professor","Non-STEM","This year","More than 10 years",NA
12,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
13,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
14,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
15,"Woman","PhD student","STEM (science, technology, engineering, mathematics)","More than 10 years ago or Never",NA,NA
16,"Woman","Assistant Professor","Non-STEM","In the last year","6-10 years",NA
17,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
18,"Woman","PhD student","Non-STEM","This year","1-5 years","1-2 articles"
19,"Man","PhD student","Non-STEM","In the last 5 years","1-5 years","3-4 articles"
20,"Woman","This does not apply to me","STEM (science, technology, engineering, mathematics)","In the last 5 years","Less than 1 year",NA
21,NA,NA,NA,NA,NA,NA
22,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
23,"Man","Post Doc","Non-STEM","In the last year","More than 10 years",NA
24,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
25,"Woman","PhD student","Non-STEM","This year","1-5 years","3-4 articles"
26,"Woman","Post Doc","Non-STEM","This year","More than 10 years",NA
27,"Woman","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA
28,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
29,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","In the last 5 years","6-10 years",NA
30,"Man","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA
31,"Woman","This does not apply to me","Non-STEM","This year","1-5 years",NA
32,"Man","Post Doc","Non-STEM","This year","More than 10 years",NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","6-10 years",NA
36,"Woman","Post Doc","Non-STEM","In the last year","6-10 years",NA
37,"Man","Assistant Professor","Non-STEM","This year","6-10 years",NA
38,"Woman","PhD student","Non-STEM","More than 10 years ago or Never",NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,"Woman","Post Doc","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
42,"Woman","This does not apply to me","Non-STEM","This year","More than 10 years",NA
43,"Woman","Associate Professor","Non-STEM","This year","More than 10 years",NA
44,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
45,NA,NA,NA,NA,NA,NA
46,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
47,"Woman","Associate Professor","Non-STEM","This year","6-10 years",NA
48,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
49,"Woman","Full Professor","Non-STEM","This year","More than 10 years",NA
50,"Woman","Assistant Professor","Non-STEM","This year","6-10 years",NA
51,"Man","PhD student","STEM (science, technology, engineering, mathematics)","This year","1-5 years","I don't know/ This does not apply to me/ 0 articles"
52,"Woman","Full Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
53,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last 5 years","More than 10 years",NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
56,"Woman","Assistant Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
57,"Man","Assistant Professor","STEM (science, technology, engineering, mathematics)","This year","1-5 years",NA
58,"Woman","Associate Professor","Non-STEM","In the last year","More than 10 years",NA
59,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","In the last year","More than 10 years",NA
60,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA
62,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
63,"Man","Post Doc","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
64,"Prefer not to say","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
65,"Man","Full Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
66,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
67,"Woman","Full Professor","Non-STEM","In the last year","More than 10 years",NA
68,"Man","This does not apply to me","STEM (science, technology, engineering, mathematics)","This year","6-10 years",NA
69,"Woman","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
70,"Man","Associate Professor","STEM (science, technology, engineering, mathematics)","This year","More than 10 years",NA
71,"Man","Full Professor","Non-STEM","This year","More than 10 years",NA
